年月日,東京最高気温(℃),東京最高気温(℃)品質情報,東京最高気温(℃)均質番号,東京最低気温(℃),東京最低気温(℃)品質情報,東京最低気温(℃)均質番号,東京平均気温(℃),東京平均気温(℃)品質情報,東京平均気温(℃)均質番号,東京降水量の合計(mm),東京降水量の合計(mm)現象なし情報,東京降水量の合計(mm)品質情報,東京降水量の合計(mm)均質番号,東京日照時間(時間),東京日照時間(時間)現象なし情報,東京日照時間(時間)品質情報,東京日照時間(時間)均質番号,東京平均風速(m/s),東京平均風速(m/s)品質情報,東京平均風速(m/s)均質番号,東京最大風速(m/s),東京最大風速(m/s)品質情報,東京最大風速(m/s),東京最大風速(m/s)品質情報,東京最大風速(m/s)均質番号,東京最大瞬間風速(m/s),東京最大瞬間風速(m/s)品質情報,東京最大瞬間風速(m/s),東京最大瞬間風速(m/s)品質情報,東京最大瞬間風速(m/s)均質番号,東京最多風向(16方位),東京最多風向(16方位)品質情報,東京最多風向(16方位)均質番号,東京平均蒸気圧(hPa),東京平均蒸気圧(hPa)品質情報,東京平均蒸気圧(hPa)均質番号,東京平均湿度(％),東京平均湿度(％)品質情報,東京平均湿度(％)均質番号,東京最小相対湿度(％),東京最小相対湿度(％)品質情報,東京最小相対湿度(％)均質番号,東京平均現地気圧(hPa),東京平均現地気圧(hPa)品質情報,東京平均現地気圧(hPa)均質番号,東京平均海面気圧(hPa),東京平均海面気圧(hPa)品質情報,東京平均海面気圧(hPa)均質番号,東京最低海面気圧(hPa),東京最低海面気圧(hPa)現象なし情報,東京最低海面気圧(hPa)品質情報,東京最低海面気圧(hPa)均質番号,東京平均雲量(10分比),東京平均雲量(10分比)品質情報,東京平均雲量(10分比)均質番号,東京天気概況(昼：06時〜18時),東京天気概況(昼：06時〜18時)品質情報,東京天気概況(昼：06時〜18時)均質番号,東京天気概況(夜：18時〜翌日06時),東京天気概況(夜：18時〜翌日06時)品質情報,東京天気概況(夜：18時〜翌日06時)均質番号,東京10分間降水量の最大(mm),東京10分間降水量の最大(mm)現象なし情報,東京10分間降水量の最大(mm)品質情報,東京10分間降水量の最大(mm)均質番号
2015/1/1,8.2,8,1,0.7,8,1,3.7,8,1,0,0,8,1,1.3,0,8,1,4.4,8,1,9.4,8,北西,8,1,18.7,8,北北西,8,1,北西,8,1,3.3,8,1,41,8,1,30,8,1,1000.4,8,1,1003.4,8,1,995,0,8,1,3.8,8,1,曇時々晴一時雪,8,1,快晴,8,1,0,0,8,1
2015/1/2,7.9,8,1,-2.2,8,1,2.7,8,1,0,1,8,1,6,0,8,1,2.1,8,1,4.2,8,北西,8,1,7.8,8,北西,8,1,北西,8,1,3,8,1,41,8,1,19,8,1,1007.4,8,1,1010.4,8,1,1008,0,8,1,5,8,1,晴時々曇,8,1,晴一時曇,8,1,0,1,8,1
2015/1/3,8.9,8,1,-1.1,8,1,3.8,8,1,0,1,8,1,8.9,0,8,1,3,8,1,7.4,8,西北西,8,1,10.9,8,西北西,8,1,北西,8,1,3.2,8,1,42,8,1,19,8,1,1012,8,1,1015.1,8,1,1010.2,0,8,1,0,8,1,快晴,8,1,晴後薄曇,8,1,0,1,8,1
2015/1/4,9.3,8,1,-0.4,8,1,4,8,1,0,1,8,1,6,0,8,1,1.3,8,1,2.8,8,西北西,8,1,3.8,8,北北東,8,1,北北西,8,1,4.1,8,1,51,8,1,33,8,1,1010.4,8,1,1013.4,8,1,1010.6,0,8,1,5.3,8,1,曇後晴,8,1,快晴,8,1,0,1,8,1
2015/1/5,12.9,8,1,1.3,8,1,6.9,8,1,0,1,8,1,8.9,0,8,1,2.4,8,1,5,8,北北西,8,1,9.1,8,北北西,8,1,南南東,8,1,5.4,8,1,56,8,1,29,8,1,1014.6,8,1,1017.5,8,1,1013.6,0,8,1,2.5,8,1,快晴,8,1,曇一時晴,8,1,0,1,8,1
2015/1/6,16,8,1,5.8,8,1,10.8,8,1,6.5,0,8,1,0.2,0,8,1,5.2,8,1,8.9,8,南南西,8,1,19.3,8,南,8,1,南南西,8,1,8.6,8,1,64,8,1,40,8,1,1000.6,8,1,1003.5,8,1,993.6,0,8,1,8,8,1,曇後時々雨,8,1,曇時々晴,8,1,1.5,0,8,1
2015/1/7,10.2,8,1,3,8,1,5.6,8,1,0,1,8,1,3.3,0,8,1,4.2,8,1,7,8,北北西,8,1,16.1,8,北北西,8,1,北北西,8,1,3.2,8,1,35,8,1,23,8,1,1000.5,8,1,1003.4,8,1,999,0,8,1,4.8,8,1,晴時々曇,8,1,快晴,8,1,0,1,8,1
2015/1/8,11.2,8,1,2,8,1,6.2,8,1,0,1,8,1,8.9,0,8,1,4.4,8,1,8.4,8,北西,8,1,13.6,8,北北西,8,1,北西,8,1,3,8,1,33,8,1,20,8,1,1006.2,8,1,1009.2,8,1,1007,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2015/1/9,11,8,1,3.5,8,1,6.7,8,1,0,1,8,1,8.9,0,8,1,4.1,8,1,8.1,8,北西,8,1,14.4,8,北西,8,1,北西,8,1,3,8,1,31,8,1,21,8,1,1008.2,8,1,1011.2,8,1,1009.5,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2015/1/10,11.2,8,1,1.9,8,1,6.3,8,1,0,1,8,1,9.1,0,8,1,3.5,8,1,8.8,8,北西,8,1,17.7,8,北西,8,1,北西,8,1,2.9,8,1,31,8,1,16,8,1,1008.8,8,1,1011.8,8,1,1009.7,0,8,1,0,8,1,快晴,8,1,快晴,8,1,0,1,8,1
2015/1/11,10.8,8,1,0.2,8,1,6.4,8,1,0,1,8,1,9.1,0,8,1,2.7,8,1,5.7,8,南南東,8,1,10,8,北北西,8,1,西北西,8,1,4.3,8,1,46,8,1,30,8,1,1008.7,8,1,1011.7,8,1,1007.7,0,8,1,0.8,8,1,快晴,8,1,晴一時曇,8,1,0,1,8,1
